t1_left	a1_left	f1_left	block_type	cat	stim	response	rt	id	modality	label	fb_response	fb_rt	fb_id	block	trial	attempt	retry	time_start	time_stimulus	time_response	time_log	sn	logger_sn	logger_time	participation_id	UserID	RunID	rel_time	sequence_report
FALSE	TRUE	NA	tar1att2_1	att_1	word_ttq_pos_9	1	846.91	37	keydown	left_down	NA	NA	NA	0	16	0	FALSE	48187.05	49052.435	49915.995	50068.2	NA	16	50068.445	6593390	115159	6593399	27009.655	
FALSE	TRUE	NA	tar1att2_1	att_1	word_ttq_pos_5	1	740.99	37	keydown	left_down	NA	NA	NA	0	17	0	FALSE	50068.735	50617.73	51375.46	51533.555	NA	17	51533.805	6593390	115159	6593399	28475.015	
FALSE	TRUE	NA	tar1att2_1	att_2	word_ttq_neg_8	1	833.04	39	keydown	right_down	NA	NA	NA	0	18	0	FALSE	51534.06	52482.82	53332.48	53482.015	NA	18	53482.295	6593390	115159	6593400	30423.505	
FALSE	TRUE	NA	tar1att2_1	att_2	word_ttq_neg_5	1	997.495	39	keydown	right_down	NA	NA	NA	0	19	0	FALSE	53482.55	54347.87	55361.995	55513.435	NA	19	55513.68	6593390	115159	6593400	32454.89	
FALSE	TRUE	NA	tar1att2_1	att_2	word_ttq_neg_6	1	913.725	39	keydown	right_down	NA	NA	NA	0	20	0	FALSE	55513.94	56129.635	57060.375	57211.98	NA	20	57212.21	6593390	115159	6593401	34153.42	
FALSE	TRUE	NA	tar1att2_1	tar_1	huanghelou_p_4_test	1	437.91	39	keydown	right_down	NA	NA	NA	0	21	0	FALSE	57212.595	58194.425	58740.325	58893.855	NA	21	58894.09	6593390	115159	6593401	35835.3	
FALSE	TRUE	NA	tar1att2_1	att_1	word_ttq_pos_4	1	805.545	37	keydown	left_down	NA	NA	NA	0	22	0	FALSE	58894.49	59410.305	60232.64	60392.595	NA	22	60392.83	6593390	115159	6593401	37334.04	
FALSE	TRUE	NA	tar1att2_1	tar_1	yunyan_p_7_test	1	616.075	39	keydown	right_down	NA	NA	NA	0	23	0	FALSE	60393.2	61241.795	61966.755	62124.39	NA	23	62124.63	6593390	115159	6593402	39065.84	
FALSE	TRUE	NA	tar1att2_2	tar_1	huanghelou_p_4_test	3	null	NA	NA	NA	right_down	972.155	39	1	0	0	TRUE	78343.915	78909.715	80408.52	81481.035	NA	24	81481.355	6593390	115159	6593404	58422.565	
FALSE	TRUE	NA	tar1att2_2	tar_1	huanghelou_p_4_test	1	1005.315	39	keydown	right_down	NA	NA	NA	1	0	1	FALSE	78343.915	81481.375	82512.86	82673.15	NA	25	82673.435	6593390	115159	6593404	59614.645	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_5	3	null	NA	NA	NA	right_down	1476.69	39	1	1	0	TRUE	82673.685	83622.345	85121.19	86699.14	NA	26	86699.41	6593390	115159	6593405	63640.62	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_5	1	556.215	39	keydown	right_down	NA	NA	NA	1	1	1	FALSE	82673.685	86699.42	87275.955	87435.6	NA	27	87435.845	6593390	115159	6593405	64377.055	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_3	1	782.26	37	keydown	left_down	NA	NA	NA	1	2	0	FALSE	87436.105	88018.55	88817.465	88967.75	NA	28	88968.03	6593390	115159	6593406	65909.24	
FALSE	TRUE	NA	tar1att2_2	tar_1	yunyan_p_6_test	1	550.59	39	keydown	right_down	NA	NA	NA	1	3	0	FALSE	88968.375	89717.33	90384.59	90549.68	NA	29	90549.925	6593390	115159	6593406	67491.135	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_1	1	751.945	39	keydown	right_down	NA	NA	NA	1	4	0	FALSE	90550.21	91465.555	92234.33	92398.07	NA	30	92398.34	6593390	115159	6593406	69339.55	
FALSE	TRUE	NA	tar1att2_2	tar_1	huanghelou_p_5_test	2	557.535	37	keydown	left_down	NA	NA	NA	1	5	0	FALSE	92398.715	93080.87	93655.035	93880.125	NA	31	93880.385	6593390	115159	6593407	70821.595	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_2	3	null	NA	NA	NA	right_down	9.73	39	1	6	0	TRUE	93880.625	94845.895	96345.025	96493.78	NA	32	96494.06	6593390	115159	6593407	73435.27	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_2	1	531.26	39	keydown	right_down	NA	NA	NA	1	6	1	FALSE	93880.625	96494.07	97042.445	97193.935	NA	33	97194.235	6593390	115159	6593408	74135.445	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_8	1	1090.07	39	keydown	right_down	NA	NA	NA	1	7	0	FALSE	97194.55	97726.77	98833.495	98992.34	NA	34	98992.6	6593390	115159	6593408	75933.81	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_9	1	502.265	37	keydown	left_down	NA	NA	NA	1	8	0	FALSE	98992.905	99691.715	100210.635	100374.5	NA	35	100374.745	6593390	115159	6593408	77315.955	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_2	1	591.2	37	keydown	left_down	NA	NA	NA	1	9	0	FALSE	100375.03	101023.935	101632.305	101789.935	NA	36	101790.175	6593390	115159	6593409	78731.385	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_5	1	641.27	37	keydown	left_down	NA	NA	NA	1	10	0	FALSE	101790.485	102406.06	103064	103222	NA	37	103222.245	6593390	115159	6593409	80163.455	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_1	1	498.815	39	keydown	right_down	NA	NA	NA	1	11	0	FALSE	103222.555	104071.28	104586.755	104754.01	NA	38	104754.255	6593390	115159	6593409	81695.465	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_4	1	656.43	37	keydown	left_down	NA	NA	NA	1	12	0	FALSE	104754.565	105703.21	106376.305	106535.79	NA	39	106536.055	6593390	115159	6593410	83477.265	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_4	1	652.575	39	keydown	right_down	NA	NA	NA	1	13	0	FALSE	106536.33	107035.38	107705.12	107867.965	NA	40	107868.215	6593390	115159	6593410	84809.425	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_7	1	612.255	37	keydown	left_down	NA	NA	NA	1	14	0	FALSE	107868.495	108517.37	109146.645	109300.07	NA	41	109300.35	6593390	115159	6593411	86241.56	
FALSE	TRUE	NA	tar1att2_2	tar_1	liqun_a_10_test	1	697.68	39	keydown	right_down	NA	NA	NA	1	15	0	FALSE	109300.715	109982.785	110792.975	110948.61	NA	42	110948.86	6593390	115159	6593411	87890.07	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_2	1	663.475	37	keydown	left_down	NA	NA	NA	1	16	0	FALSE	110949.14	111714.64	112394.765	112547.23	NA	43	112547.475	6593390	115159	6593411	89488.685	
FALSE	TRUE	NA	tar1att2_2	tar_1	furongwang_a_9_test	1	624.67	39	keydown	right_down	NA	NA	NA	1	17	0	FALSE	112547.875	113180.02	113919.125	114079.225	NA	44	114079.465	6593390	115159	6593412	91020.675	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_6	1	774.65	39	keydown	right_down	NA	NA	NA	1	18	0	FALSE	114079.715	114578.77	115370.09	115528.03	NA	45	115528.28	6593390	115159	6593412	92469.49	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_9	1	700.38	39	keydown	right_down	NA	NA	NA	1	19	0	FALSE	115528.555	116310.6	117027.63	117193.215	NA	46	117193.455	6593390	115159	6593413	94134.665	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_10	1	567.59	39	keydown	right_down	NA	NA	NA	1	20	0	FALSE	117193.71	118142.335	118726.575	118891.72	NA	47	118892.02	6593390	115159	6593413	95833.23	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_1	1	488.655	37	keydown	left_down	NA	NA	NA	1	21	0	FALSE	118892.315	119757.59	120262.955	120423.745	NA	48	120423.985	6593390	115159	6593413	97365.195	
FALSE	TRUE	NA	tar1att2_2	tar_1	furongwang_p_7_test	1	672.945	39	keydown	right_down	NA	NA	NA	1	22	0	FALSE	120424.705	121089.785	121876.07	122038.995	NA	49	122039.235	6593390	115159	6593414	98980.445	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_7	1	1210.895	39	keydown	right_down	NA	NA	NA	1	23	0	FALSE	122039.51	122588.52	123816.07	123970.565	NA	50	123970.805	6593390	115159	6593414	100912.015	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_8	1	596.45	37	keydown	left_down	NA	NA	NA	1	24	0	FALSE	123971.065	124620.075	125233.145	125386.08	NA	51	125386.325	6593390	115159	6593415	102327.535	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_8	1	479.63	37	keydown	left_down	NA	NA	NA	1	25	0	FALSE	125386.6	125952.215	126448.515	126618.335	NA	52	126618.585	6593390	115159	6593415	103559.795	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_3	1	469.815	37	keydown	left_down	NA	NA	NA	1	26	0	FALSE	126618.86	127450.97	127937.45	128100.53	NA	53	128100.835	6593390	115159	6593415	105042.045	
FALSE	TRUE	NA	tar1att2_2	tar_1	yunyan_p_7_test	1	575.205	39	keydown	right_down	NA	NA	NA	1	27	0	FALSE	128101.25	129016.21	129608.07	129765.605	NA	54	129765.855	6593390	115159	6593416	106707.065	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_10	1	596.41	39	keydown	right_down	NA	NA	NA	1	28	0	FALSE	129766.12	130381.76	130994.82	131147.735	NA	55	131148.045	6593390	115159	6593416	108089.255	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_3	1	652.25	37	keydown	left_down	NA	NA	NA	1	29	0	FALSE	131148.36	131714.03	132382.91	132546.515	NA	56	132546.78	6593390	115159	6593416	109487.99	
FALSE	TRUE	NA	tar1att2_2	tar_1	furongwang_a_10_test	1	641.42	39	keydown	right_down	NA	NA	NA	1	30	0	FALSE	132547.125	133062.745	133823.42	133995.275	NA	57	133995.53	6593390	115159	6593417	110936.74	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_3	1	677.505	39	keydown	right_down	NA	NA	NA	1	31	0	FALSE	133995.81	134644.67	135338.82	135493.965	NA	58	135494.555	6593390	115159	6593417	112435.765	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_10	1	496.7	37	keydown	left_down	NA	NA	NA	1	32	0	FALSE	135494.79	136376.505	136889.835	137042.625	NA	59	137042.89	6593390	115159	6593418	113984.1	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_6	1	524.45	37	keydown	left_down	NA	NA	NA	1	33	0	FALSE	137043.16	137625.455	138166.565	138324.84	NA	60	138325.075	6593390	115159	6593418	115266.285	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_5	1	448.295	39	keydown	right_down	NA	NA	NA	1	34	0	FALSE	138325.335	139190.79	139655.71	139806.905	NA	61	139807.145	6593390	115159	6593418	116748.355	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_2	1	472.035	37	keydown	left_down	NA	NA	NA	1	35	0	FALSE	139807.425	140389.705	140878.405	141039.145	NA	62	141039.385	6593390	115159	6593419	117980.595	
FALSE	TRUE	NA	tar1att2_2	tar_1	nobrand_p_4_test	1	1019.005	39	keydown	right_down	NA	NA	NA	1	36	0	FALSE	141039.795	141805.115	142943.05	143104.015	NA	63	143104.25	6593390	115159	6593419	120045.46	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_8	1	668.855	39	keydown	right_down	NA	NA	NA	1	37	0	FALSE	143104.505	144069.81	144755.345	144919.115	NA	64	144919.36	6593390	115159	6593420	121860.57	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_10	1	574.42	39	keydown	right_down	NA	NA	NA	1	38	0	FALSE	144919.64	145518.555	146110.225	146267.905	NA	65	146268.17	6593390	115159	6593420	123209.38	
FALSE	TRUE	NA	tar1att2_2	tar_1	furongwang_p_9_test	2	535.23	37	keydown	left_down	NA	NA	NA	1	39	0	FALSE	146268.565	147050.545	147602.56	147749.97	NA	66	147750.245	6593390	115159	6593420	124691.455	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_2	1	737.28	39	keydown	right_down	NA	NA	NA	1	40	0	FALSE	147750.5	148732.405	149486.32	149648.36	NA	67	149648.6	6593390	115159	6593421	126589.81	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_5	1	505.375	37	keydown	left_down	NA	NA	NA	1	41	0	FALSE	149648.885	150530.865	151052.84	151213.635	NA	68	151213.86	6593390	115159	6593421	128155.07	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_4	1	528.7	37	keydown	left_down	NA	NA	NA	1	42	0	FALSE	151214.12	151729.845	152275.185	152429.305	NA	69	152429.7	6593390	115159	6593421	129370.91	
FALSE	TRUE	NA	tar1att2_2	tar_1	nobrand_p_8_test	1	510.97	39	keydown	right_down	NA	NA	NA	1	43	0	FALSE	152430.015	153161.945	153799.855	153961.21	NA	70	153961.5	6593390	115159	6593422	130902.71	
FALSE	TRUE	NA	tar1att2_2	tar_1	nobrand_p_4_test	1	461.285	39	keydown	right_down	NA	NA	NA	1	44	0	FALSE	153961.895	154843.81	155322.245	155476.58	NA	71	155476.82	6593390	115159	6593422	132418.03	
FALSE	TRUE	NA	tar1att2_2	tar_1	baisha_p_10_test	1	423.04	39	keydown	right_down	NA	NA	NA	1	45	0	FALSE	155477.185	156209.3	156649.005	156808.85	NA	72	156809.085	6593390	115159	6593422	133750.295	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_7	1	597.635	37	keydown	left_down	NA	NA	NA	1	46	0	FALSE	156809.365	157674.605	158288.88	158440.705	NA	73	158440.94	6593390	115159	6593423	135382.15	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_10	1	506.58	37	keydown	left_down	NA	NA	NA	1	47	0	FALSE	158441.215	159206.66	159729.87	159889.405	NA	74	159889.685	6593390	115159	6593423	136830.895	
FALSE	TRUE	NA	tar1att2_2	tar_1	nobrand_a_6_test	1	479.725	39	keydown	right_down	NA	NA	NA	1	48	0	FALSE	159890.025	160605.51	161208.68	161354.79	NA	75	161355.08	6593390	115159	6593424	138296.29	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_7	1	509.11	37	keydown	left_down	NA	NA	NA	1	49	0	FALSE	161355.295	161970.965	162496.775	162653.765	NA	76	162654.005	6593390	115159	6593424	139595.215	
FALSE	TRUE	NA	tar1att2_2	tar_1	baisha_a_8_test	1	513.855	39	keydown	right_down	NA	NA	NA	1	50	0	FALSE	162654.385	163403.06	164031.14	164185.675	NA	77	164185.92	6593390	115159	6593424	141127.13	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_6	1	514.4	37	keydown	left_down	NA	NA	NA	1	51	0	FALSE	164186.195	164968.35	165499.41	165651.1	NA	78	165651.34	6593390	115159	6593425	142592.55	
FALSE	TRUE	NA	tar1att2_2	tar_1	huanghelou_a_8_test	2	485.755	37	keydown	left_down	NA	NA	NA	1	52	0	FALSE	165651.73	166500.3	167108.23	167266.32	NA	79	167266.56	6593390	115159	6593425	144207.77	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_10	1	560.4	37	keydown	left_down	NA	NA	NA	1	53	0	FALSE	167266.835	168215.53	168792.575	168948.21	NA	80	168948.45	6593390	115159	6593426	145889.66	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_5	1	496.975	37	keydown	left_down	NA	NA	NA	1	54	0	FALSE	168948.73	169714.24	170227.895	170380.3	NA	81	170380.54	6593390	115159	6593426	147321.75	
FALSE	TRUE	NA	tar1att2_2	tar_1	liqun_a_9_test	1	581.995	39	keydown	right_down	NA	NA	NA	1	55	0	FALSE	170380.955	170929.795	171625.96	171779.07	NA	82	171779.31	6593390	115159	6593426	148720.52	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_6	1	635.695	39	keydown	right_down	NA	NA	NA	1	56	0	FALSE	171779.59	172361.96	173014.275	173161.215	NA	83	173161.45	6593390	115159	6593427	150102.66	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_8	1	507.105	37	keydown	left_down	NA	NA	NA	1	57	0	FALSE	173161.725	173877.23	174401.025	174560.04	NA	84	174560.28	6593390	115159	6593427	151501.49	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_4	1	579.83	39	keydown	right_down	NA	NA	NA	1	58	0	FALSE	174560.56	175392.57	175989.04	176141.965	NA	85	176142.205	6593390	115159	6593427	153083.415	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_7	1	613.785	39	keydown	right_down	NA	NA	NA	1	59	0	FALSE	176142.455	176991.18	177621.605	177773.88	NA	86	177774.125	6593390	115159	6593428	154715.335	
FALSE	TRUE	NA	tar1att2_2	tar_1	huanghelou_p_9_test	1	587.645	39	keydown	right_down	NA	NA	NA	1	60	0	FALSE	177775.02	178756.315	179459.395	179605.61	NA	87	179605.85	6593390	115159	6593428	156547.06	
FALSE	TRUE	NA	tar1att2_2	tar_1	baisha_a_5_test	1	680.955	39	keydown	right_down	NA	NA	NA	1	61	0	FALSE	179606.33	180271.71	180969.81	181120.955	NA	88	181121.21	6593390	115159	6593429	158062.42	
FALSE	TRUE	NA	tar1att2_2	tar_1	yunyan_a_6_test	1	578.515	39	keydown	right_down	NA	NA	NA	1	62	0	FALSE	181121.565	181921.9	182516.525	182686.32	NA	89	182686.565	6593390	115159	6593429	159627.775	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_1	1	517.245	37	keydown	left_down	NA	NA	NA	1	63	0	FALSE	182686.805	183368.99	183902.885	184068.42	NA	90	184068.66	6593390	115159	6593429	161009.87	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_9	1	514.455	37	keydown	left_down	NA	NA	NA	1	64	0	FALSE	184068.95	185050.905	185581.97	185733.65	NA	91	185733.885	6593390	115159	6593430	162675.095	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_3	1	652.195	39	keydown	right_down	NA	NA	NA	1	65	0	FALSE	185734.16	186666.095	187334.93	187498.775	NA	92	187499.01	6593390	115159	6593430	164440.22	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_6	1	558.055	37	keydown	left_down	NA	NA	NA	1	66	0	FALSE	187499.265	188248.07	188822.755	188980.97	NA	93	188981.2	6593390	115159	6593431	165922.41	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_4	1	472.005	37	keydown	left_down	NA	NA	NA	1	67	0	FALSE	188981.465	189863.38	190352.045	190512.825	NA	94	190513.06	6593390	115159	6593431	167454.27	
FALSE	TRUE	NA	tar1att2_2	tar_1	nobrand_a_7_test	1	911.495	39	keydown	right_down	NA	NA	NA	1	68	0	FALSE	190513.38	191345.375	192379.6	192544.39	NA	95	192544.63	6593390	115159	6593431	169485.84	
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_9	1	642.725	39	keydown	right_down	NA	NA	NA	1	69	0	FALSE	192544.88	193077.22	193736.695	193893.21	NA	96	193893.445	6593390	115159	6593432	170834.655	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_9	1	514.35	37	keydown	left_down	NA	NA	NA	1	70	0	FALSE	193893.73	194509.35	195040.35	195192.04	NA	97	195192.285	6593390	115159	6593432	172133.495	
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_1	1	507.81	37	keydown	left_down	NA	NA	NA	1	71	0	FALSE	195192.55	195941.42	196465.88	196624.185	NA	98	196624.42	6593390	115159	6593432	173565.63	
