vpt.from_seq	vpt.to_seq	vpt.event	vpt.block	vpt.trial	vpt.patt	vpt.reps	vpt.phor	vpt.stim	vpt.keep	vpt.thor	vpt.image	vpt.pdir	vpt.response	vpt.rt	vpt.set_id	vpt.type	vpt.placebo
487	488	trial	2	16	no	2	left	sw_a_23	no	right	sw_a_23_right	down	1	511	2	train	FALSE
490	491	trial	2	17	no	2	right	sa_p_11	yes	left	sa_p_11_left	up	1	621	2	train	FALSE
493	494	trial	2	18	no	3	right	sw_a_54	yes	left	sw_a_54_left	up	1	431	2	train	FALSE
496	497	trial	2	19	no	2	left	sw_a_54	no	right	sw_a_54_right	down	1	558	2	train	FALSE
499	500	trial	2	20	no	3	left	sw_a_23	no	right	sw_a_23_right	down	1	503	2	train	FALSE
502	503	trial	2	21	no	2	right	sw_a_4	yes	left	sw_a_4_left	up	1	382	2	train	FALSE
505	506	trial	2	22	no	0	right	sw_a_54	yes	left	sw_a_54_left	up	1	456	2	train	FALSE
508	509	trial	2	23	no	3	right	sw_p_10	yes	left	sw_p_10_left	up	1	377	2	train	FALSE
511	512	trial	2	24	no	0	right	dr_p_9	no	left	dr_p_9_left	down	1	471	2	train	FALSE
514	515	trial	2	25	no	0	left	sa_p_58	no	right	sa_p_58_right	up	1	461	2	train	FALSE
517	518	trial	2	26	no	1	right	sa_p_11	no	left	sa_p_11_left	up	1	489	2	train	FALSE
520	521	trial	2	27	no	3	left	dr_p_9	no	right	dr_p_9_right	down	1	517	2	train	FALSE
523	524	trial	2	28	no	3	right	sw_p_10	no	left	sw_p_10_left	down	2	373	2	train	FALSE
527	528	trial	2	29	no	0	right	sw_a_19	no	left	sw_a_19_left	down	1	463	2	train	FALSE
530	531	trial	2	30	no	0	right	sa_p_30	yes	left	sa_p_30_left	up	1	649	2	train	FALSE
533	534	trial	2	31	no	3	right	sw_a_4	yes	left	sw_a_4_left	down	1	425	2	train	FALSE
536	537	trial	2	32	no	2	right	sw_a_23	yes	left	sw_a_23_left	up	1	384	2	train	FALSE
539	540	trial	2	33	no	0	left	dr_p_1	no	right	dr_p_1_right	up	1	542	2	train	FALSE
542	543	trial	2	34	no	2	right	sa_p_11	no	left	sa_p_11_left	down	1	537	2	train	FALSE
545	546	trial	2	35	no	3	left	sw_a_43	yes	right	sw_a_43_right	down	2	508	2	train	FALSE
549	550	trial	2	36	no	3	left	sw_a_23	yes	right	sw_a_23_right	up	1	426	2	train	FALSE
552	553	trial	2	37	no	0	right	dr_p_1	no	left	dr_p_1_left	down	1	533	2	train	FALSE
555	556	trial	2	38	no	0	right	sw_p_10	yes	left	sw_p_10_left	down	1	457	2	train	FALSE
558	559	trial	2	39	no	1	right	sw_a_23	no	left	sw_a_23_left	up	1	420	2	train	FALSE
561	562	trial	2	40	no	3	left	sa_p_30	yes	right	sa_p_30_right	up	1	571	2	train	FALSE
564	565	trial	2	41	no	1	left	sw_a_43	no	right	sw_a_43_right	up	1	468	2	train	FALSE
567	568	trial	2	42	no	2	right	dr_p_1	no	left	dr_p_1_left	down	1	556	2	train	FALSE
570	571	trial	2	43	no	0	left	sa_a_31	no	right	sa_a_31_right	up	1	888	2	train	FALSE
573	574	trial	2	44	no	0	right	sw_p_10	no	left	sw_p_10_left	down	1	486	2	train	FALSE
576	577	trial	2	45	no	3	left	dr_p_1	no	right	dr_p_1_right	up	1	493	2	train	FALSE
579	580	trial	2	46	no	3	right	sw_a_4	no	left	sw_a_4_left	up	1	460	2	train	FALSE
582	583	trial	2	47	no	3	right	sa_p_58	no	left	sa_p_58_left	up	1	417	2	train	FALSE
585	586	trial	2	48	no	2	left	sa_a_31	yes	right	sa_a_31_right	down	1	585	2	train	FALSE
588	589	trial	2	49	no	3	right	sa_a_31	no	left	sa_a_31_left	down	1	564	2	train	FALSE
591	592	trial	2	50	no	0	right	sw_a_4	no	left	sw_a_4_left	up	1	460	2	train	FALSE
594	595	trial	2	51	no	1	left	sw_a_54	yes	right	sw_a_54_right	up	1	538	2	train	FALSE
597	598	trial	2	52	no	0	left	sw_a_54	no	right	sw_a_54_right	down	1	465	2	train	FALSE
600	601	trial	2	53	no	0	right	sw_a_23	no	left	sw_a_23_left	down	1	524	2	train	FALSE
603	604	trial	2	54	no	3	right	sw_a_54	no	left	sw_a_54_left	down	1	483	2	train	FALSE
606	607	trial	2	55	no	1	right	sw_a_43	yes	left	sw_a_43_left	up	1	466	2	train	FALSE
609	610	trial	2	56	no	3	left	sw_a_4	no	right	sw_a_4_right	up	1	706	2	train	FALSE
612	613	trial	2	57	no	1	right	sw_a_54	yes	left	sw_a_54_left	up	1	438	2	train	FALSE
615	616	trial	2	58	no	1	right	sa_a_31	yes	left	sa_a_31_left	down	1	504	2	train	FALSE
618	619	trial	2	59	no	1	left	sa_p_58	yes	right	sa_p_58_right	down	1	629	2	train	FALSE
621	622	trial	2	60	no	1	left	sw_a_19	no	right	sw_a_19_right	up	1	663	2	train	FALSE
624	625	trial	2	61	no	0	left	sw_a_19	yes	right	sw_a_19_right	up	1	501	2	train	FALSE
627	628	trial	2	62	no	3	left	sw_a_19	yes	right	sw_a_19_right	down	1	446	2	train	FALSE
630	631	trial	2	63	no	2	right	sa_p_30	no	left	sa_p_30_left	up	1	462	2	train	FALSE
633	634	trial	2	64	no	2	left	dr_p_9	no	right	dr_p_9_right	down	1	464	2	train	FALSE
636	637	trial	2	65	no	0	right	dr_p_9	yes	left	dr_p_9_left	down	1	382	2	train	FALSE
639	640	trial	2	66	no	3	right	sa_p_11	no	left	sa_p_11_left	down	1	554	2	train	FALSE
642	643	trial	2	67	no	0	right	sa_a_31	yes	left	sa_a_31_left	down	1	381	2	train	FALSE
645	646	trial	2	68	no	0	left	sa_a_31	yes	right	sa_a_31_right	up	2	543	2	train	FALSE
649	650	trial	2	69	no	2	left	sw_p_10	no	right	sw_p_10_right	up	1	465	2	train	FALSE
652	653	trial	2	70	no	3	right	dr_p_1	yes	left	dr_p_1_left	up	1	396	2	train	FALSE
