t1_left	a1_left	f1_left	block_type	cat	stim	response	rt	id	modality	label	fb_response	fb_rt	fb_id	block	trial	attempt	retry	time_start	time_stimulus	time_response	time_log	sn	logger_sn	logger_time	participation_id	UserID	RunID	rel_time
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_2	1	737.28	39	keydown	right_down	NA	NA	NA	1	40	0	FALSE	147750.5	148732.405	149486.32	149648.36	NA	67	149648.6	6593390	115257	6593421	126589.81
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_5	1	505.375	37	keydown	left_down	NA	NA	NA	1	41	0	FALSE	149648.885	150530.865	151052.84	151213.635	NA	68	151213.86	6593390	115257	6593421	128155.07
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_4	1	528.7	37	keydown	left_down	NA	NA	NA	1	42	0	FALSE	151214.12	151729.845	152275.185	152429.305	NA	69	152429.7	6593390	115257	6593421	129370.91
FALSE	TRUE	NA	tar1att2_2	tar_1	nobrand_p_8_test	1	510.97	39	keydown	right_down	NA	NA	NA	1	43	0	FALSE	152430.015	153161.945	153799.855	153961.21	NA	70	153961.5	6593390	115257	6593422	130902.71
FALSE	TRUE	NA	tar1att2_2	tar_1	nobrand_p_4_test	1	461.285	39	keydown	right_down	NA	NA	NA	1	44	0	FALSE	153961.895	154843.81	155322.245	155476.58	NA	71	155476.82	6593390	115257	6593422	132418.03
FALSE	TRUE	NA	tar1att2_2	tar_1	baisha_p_10_test	1	423.04	39	keydown	right_down	NA	NA	NA	1	45	0	FALSE	155477.185	156209.3	156649.005	156808.85	NA	72	156809.085	6593390	115257	6593422	133750.295
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_7	1	597.635	37	keydown	left_down	NA	NA	NA	1	46	0	FALSE	156809.365	157674.605	158288.88	158440.705	NA	73	158440.94	6593390	115257	6593423	135382.15
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_10	1	506.58	37	keydown	left_down	NA	NA	NA	1	47	0	FALSE	158441.215	159206.66	159729.87	159889.405	NA	74	159889.685	6593390	115257	6593423	136830.895
FALSE	TRUE	NA	tar1att2_2	tar_1	nobrand_a_6_test	1	479.725	39	keydown	right_down	NA	NA	NA	1	48	0	FALSE	159890.025	160605.51	161208.68	161354.79	NA	75	161355.08	6593390	115257	6593424	138296.29
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_7	1	509.11	37	keydown	left_down	NA	NA	NA	1	49	0	FALSE	161355.295	161970.965	162496.775	162653.765	NA	76	162654.005	6593390	115257	6593424	139595.215
FALSE	TRUE	NA	tar1att2_2	tar_1	baisha_a_8_test	1	513.855	39	keydown	right_down	NA	NA	NA	1	50	0	FALSE	162654.385	163403.06	164031.14	164185.675	NA	77	164185.92	6593390	115257	6593424	141127.13
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_6	1	514.4	37	keydown	left_down	NA	NA	NA	1	51	0	FALSE	164186.195	164968.35	165499.41	165651.1	NA	78	165651.34	6593390	115257	6593425	142592.55
FALSE	TRUE	NA	tar1att2_2	tar_1	huanghelou_a_8_test	2	485.755	37	keydown	left_down	NA	NA	NA	1	52	0	FALSE	165651.73	166500.3	167108.23	167266.32	NA	79	167266.56	6593390	115257	6593425	144207.77
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_10	1	560.4	37	keydown	left_down	NA	NA	NA	1	53	0	FALSE	167266.835	168215.53	168792.575	168948.21	NA	80	168948.45	6593390	115257	6593426	145889.66
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_5	1	496.975	37	keydown	left_down	NA	NA	NA	1	54	0	FALSE	168948.73	169714.24	170227.895	170380.3	NA	81	170380.54	6593390	115257	6593426	147321.75
FALSE	TRUE	NA	tar1att2_2	tar_1	liqun_a_9_test	1	581.995	39	keydown	right_down	NA	NA	NA	1	55	0	FALSE	170380.955	170929.795	171625.96	171779.07	NA	82	171779.31	6593390	115257	6593426	148720.52
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_6	1	635.695	39	keydown	right_down	NA	NA	NA	1	56	0	FALSE	171779.59	172361.96	173014.275	173161.215	NA	83	173161.45	6593390	115257	6593427	150102.66
FALSE	TRUE	NA	tar1att2_2	att_1	word_ttq_pos_8	1	507.105	37	keydown	left_down	NA	NA	NA	1	57	0	FALSE	173161.725	173877.23	174401.025	174560.04	NA	84	174560.28	6593390	115257	6593427	151501.49
FALSE	TRUE	NA	tar1att2_2	att_2	word_ttq_neg_4	1	579.83	39	keydown	right_down	NA	NA	NA	1	58	0	FALSE	174560.56	175392.57	175989.04	176141.965	NA	85	176142.205	6593390	115257	6593427	153083.415
