Timetamp	UserID	Session	Task	RunID	Name	Value
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594185	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","tar_1","liqun_p_6_test",1,535.615,37,"keydown","left_down","NA","NA","NA",1,19,0,false,111737.86,112486.785,113141.28,113304.04,"NA",43,113304.225,"6594159"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_6",1,969.29,37,"keydown","left_down","NA","NA","NA",1,20,0,false,113304.435,114201.915,115187.895,115350.93,"NA",44,115351.125,"6594159"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_3",1,584.905,39,"keydown","right_down","NA","NA","NA",1,21,0,false,115351.33,116216.8,116818.38,116982.85,"NA",45,116983.18,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594186	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_7",2,453.51,37,"keydown","left_down","NA","NA","NA",1,22,0,false,116983.525,117765.475,118236.03,118398.27,"NA",46,118398.465,"6594159"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_8",3,null,"NA","NA","NA","right_down",7.155,39,1,23,0,true,118398.67,118964.42,120463.275,120590.92,"NA",47,120591.585,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594187	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_8",1,617.985,39,"keydown","right_down","NA","NA","NA",1,23,1,false,118398.67,120591.61,121230.935,121379.025,"NA",48,121379.26,"6594159"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_7",1,817.44,37,"keydown","left_down","NA","NA","NA",1,24,0,false,121379.48,122078.405,122912.475,123060.86,"NA",49,123061.09,"6594159"],[true,true,"NA","tar1att1_2","tar_1","yuxi_p_2_test",1,606.105,37,"keydown","left_down","NA","NA","NA",1,25,0,false,123061.34,123810.225,124432.99,124592.855,"NA",50,124593.055,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594188	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_9",1,686.735,37,"keydown","left_down","NA","NA","NA",1,26,0,false,124593.265,125442.135,126145.53,126308.035,"NA",51,126308.24,"6594159"],[true,true,"NA","tar1att1_2","tar_1","hongshuangxi_a_5_test",1,513.385,37,"keydown","left_down","NA","NA","NA",1,27,0,false,126308.5,127190.87,127720.62,127873.355,"NA",52,127873.98,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594189	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_10",1,677.875,39,"keydown","right_down","NA","NA","NA",1,28,0,false,127874.195,128456.13,129150.675,129322.045,"NA",53,129322.27,"6594159"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_6",1,773.5,39,"keydown","right_down","NA","NA","NA",1,29,0,false,129322.58,130204.62,130994.745,131137.14,"NA",54,131137.345,"6594159"],[true,true,"NA","tar1att1_2","tar_1","nobrand_a_7_test",1,690.055,37,"keydown","left_down","NA","NA","NA",1,30,0,false,131137.605,131869.86,132670.915,132819,"NA",55,132819.205,"6594159"]]
2016-09-06 05:14	115257	Pretest task1	Assessment Task 1	6594190	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","tar_1","liqun_p_6_test",1,493.72,37,"keydown","left_down","NA","NA","NA",1,31,0,false,132819.525,133634.98,134145.455,134301.075,"NA",56,134301.3,"6594159"],[true,true,"NA","tar1att1_2","tar_1","nanjing_a_9_test",1,480.83,37,"keydown","left_down","NA","NA","NA",1,32,0,false,134301.96,135283.505,135885.12,136032.865,"NA",57,136033.06,"6594159"]]
2016-09-06 05:15	115257	Pretest task1	Assessment Task 1	6594191	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_8",2,904.51,37,"keydown","left_down","NA","NA","NA",1,33,0,false,136033.29,136715.61,137636.785,137797.985,"NA",58,137798.21,"6594159"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_5",1,718.425,37,"keydown","left_down","NA","NA","NA",1,34,0,false,137798.47,138497.39,139232.46,139396.625,"NA",59,139396.855,"6594159"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_3",2,561.255,39,"keydown","right_down","NA","NA","NA",1,35,0,false,139397.115,139929.445,140507.385,140662.165,"NA",60,140662.37,"6594159"]]
2016-09-06 05:15	115257	Pretest task1	Assessment Task 1	6594192	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","att_2","word_ttq_avo_1",1,638.355,39,"keydown","right_down","NA","NA","NA",1,36,0,false,140662.59,141561.355,142216.345,142377.335,"NA",61,142377.85,"6594159"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_6",1,840.295,37,"keydown","left_down","NA","NA","NA",1,37,0,false,142378.075,143309.855,144166.795,144325.62,"NA",62,144325.815,"6594159"]]
2016-09-06 05:15	115257	Pretest task1	Assessment Task 1	6594193	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","tar_1","nobrand_a_2_test",1,647.84,37,"keydown","left_down","NA","NA","NA",1,38,0,false,144326.125,144925.12,145700.715,145857.61,"NA",63,145857.81,"6594159"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_10",1,650.63,37,"keydown","left_down","NA","NA","NA",1,39,0,false,145858.12,146756.85,147424.125,147589.455,"NA",64,147589.645,"6594159"]]
2016-09-06 05:15	115257	Pretest task1	Assessment Task 1	6594194	sciat	[["t1_left","a1_left","f1_left","block_type","cat","stim","response","rt","id","modality","label","fb_response","fb_rt","fb_id","block","trial","attempt","retry","time_start","time_stimulus","time_response","time_log","sn","logger_sn","logger_time","participation_id"],[true,true,"NA","tar1att1_2","tar_1","zhonghua_p_6_test",1,481.32,37,"keydown","left_down","NA","NA","NA",1,40,0,false,147589.925,148488.62,148986.62,149138.155,"NA",65,149138.35,"6594159"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_2",1,600.95,37,"keydown","left_down","NA","NA","NA",1,41,0,false,149138.56,149937.62,150554.965,150703.41,"NA",66,150703.61,"6594159"],[true,true,"NA","tar1att1_2","att_1","word_ttq_app_1",1,560.825,37,"keydown","left_down","NA","NA","NA",1,42,0,false,150703.82,151519.305,152096.8,152252.02,"NA",67,152252.22,"6594159"]]
